firm_name,official_website,official_rules_url,notes
Apex Trader Funding,https://apextraderfunding.com/,https://apextraderfunding.com/about/,
Topstep,https://www.topstep.com/,https://help.topstep.com/en/articles/8284197-trading-combine-parameters,Rules page is the Trading Combine Parameters article
My Funded Futures,https://myfundedfutures.com/,https://myfundedfutures.com/terms,"Also help.myfundedfutures.com; plans are Rapid, Builder, Flex, Pro"
Take Profit Trader,https://www.takeprofittrader.com/,,
Tradeify,https://tradeify.co/,https://tradeify.co/post/consistency-rule,".co not .com; plans Lightning (instant), Growth, Select"
TradeDay,https://www.tradeday.com/,https://www.tradeday.com/futures,
Elite Trader Funding,https://elitetraderfunding.app/,,"NOT IN THE CATALOGUE — kept for when it is added. CHECK CAREFULLY: indexed domain is .app; sources disagree on account range ($10K-$150K vs $50K-$300K)"
Alpha Futures,https://alpha-futures.com/,,"NOT IN THE CATALOGUE — kept for when it is added. Hyphenated domain, not alphafutures.com"
Earn2Trade,https://www.earn2trade.com/,https://help.earn2trade.com/en/articles/3292341-what-are-the-gauntlet-mini-rules,"Products: Gauntlet Mini, Trader Career Path"
Funded Futures Family,https://www.fundedfuturesfamily.com/,,
Bulenox,https://bulenox.com/,https://bulenox.com/start/,"NOT IN THE CATALOGUE — kept for when it is added. Also operates infobulenox.com"
Lucid Trading,https://lucidtrading.com/,https://lucidtrading.com/about-us/,"Products: LucidTest (evaluation), LucidDirect (instant)"
FundedNext Futures,https://helpfutures.fundednext.com/,,Futures arm of FundedNext — confirm the main product domain
AquaFutures,https://www.aquafutures.io/,,"Trades as AquaFutures on .io — the futures division of the AquaFunded group. aquafunded.com is the group's forex/CFD brand and is NOT this firm"
Blue Guardian Futures,https://www.blueguardianfutures.com/,,"Its own domain — blueguardian.com is the group's forex/CFD firm, a different product"
Blueberry Futures,https://blueberryfutures.com/,,"Not blueberryfunded.com, which is the group's CFD brand. Broker-backed (Blueberry Markets)"
DayTraders,https://daytraders.com/,https://daytraders.com/futures-prop-funding-explained,"Brand is DayTraders.com. A daytraders.trading site also indexes under a near-identical name — verify before linking"
E8 Futures,https://e8futures.com/,https://helpfutures.e8markets.com/en/,"Futures arm of E8 Markets; the futures help centre is on the e8markets.com domain"
FuturesElite,https://futureselite.com/,https://faq.futureselite.com/en/,Operated by Quantum SRL (Italy)
Goat Funded Futures,https://goatfundedfutures.com/,https://goatfundedfutures.com/about,"Not goatfundedtrader.com — that is the sister CFD firm"
Hola Prime Futures,https://holaprime.com/futures/,,Futures section of holaprime.com rather than a separate domain
The Trading Pit Futures,https://www.thetradingpit.com/futures,https://www.thetradingpit.com/faq/what-are-the-rules-in-futures-trading,Futures section of thetradingpit.com
The5ers Futures,https://the5ers.com/futures/,https://the5ers.com/futures-faqs/,Futures section of the5ers.com; separate help centre at futures-help.the5ers.com
Top One Futures,https://www.toponefutures.com/,,"Not toponetrader.com — that is the sister CFD firm. A toponefutures.dev also indexes"
Traders Launch,https://traderslaunch.com/,,
Ylos Trading,https://ylostrading.com/,,"Domain registered 2024-06-24; at least one review site flags it. Recorded, not endorsed"
