firm_name,firm_website,challenge_name,markets,account_size,price,billing_type,currency,profit_target_pct,max_drawdown_pct,daily_drawdown_pct,drawdown_type,minimum_days,maximum_days,payout_frequency_days,payout_split_pct,payout_conditions,platforms,activation_fee,max_payout,contracts,data_feed,source_url,source_type,confidence
Alpha Capital,,2-Step 5K,cfd,5000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $5K at 19.80+; $10K at 40+; $25K at 106.20+; $50K at 160.20+; $100K at 268.20+; $200K at 538.20+.",,,,,,,,
Alpha Capital,,2-Step 10K,cfd,10000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $5K at 19.80+; $10K at 40+; $25K at 106.20+; $50K at 160.20+; $100K at 268.20+; $200K at 538.20+.",,,,,,,,
Alpha Capital,,2-Step 25K,cfd,25000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $5K at 19.80+; $10K at 40+; $25K at 106.20+; $50K at 160.20+; $100K at 268.20+; $200K at 538.20+.",,,,,,,,
Alpha Capital,,2-Step 50K,cfd,50000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $5K at 19.80+; $10K at 40+; $25K at 106.20+; $50K at 160.20+; $100K at 268.20+; $200K at 538.20+.",,,,,,,,
Alpha Capital,,Alpha One 1-Step 50K,cfd,50000,166.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Alpha Capital,,2-Step 100K,cfd,100000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $5K at 19.80+; $10K at 40+; $25K at 106.20+; $50K at 160.20+; $100K at 268.20+; $200K at 538.20+.",,,,,,,,
Alpha Capital,,Alpha One 1-Step 100K,cfd,100000,352.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Alpha Capital,,Alpha Pro 2-Step 100K,cfd,100000,316.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Alpha Capital,,2-Step 200K,cfd,200000,,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed. Published as ranges rather than single figures, so not recorded as prices: $5K at 19.80+; $10K at 40+; $25K at 106.20+; $50K at 160.20+; $100K at 268.20+; $200K at 538.20+.",,,,,,,,
Apex Trader Funding,https://apextraderfunding.com/,Evaluation 25K,futures,25000,16.7,monthly,USD,5,4,,intraday_trailing,,,,100,"The product lineup has changed significantly and the current sizes differ from the older 25K/50K/75K/100K/150K structure. Target, drawdown, contract limits and pricing all vary by model, and legacy accounts are not current purchase options. No price is recorded rather than an invented one. Apex prices move with a running promotion and are published as ranges, so none is recorded as the price. Published as a range rather than one figure: $16.70–$24.90 at 25K, $19.70–$24.90 at 50K, $29.70–$39.90 at 100K, $49.70–$59.90 at 150K. Not recorded as a price. The 5% target is stated by the firm as uniform across every account size. The split is 100% of the first $25,000 and 90/10 after it; 90 is recorded as the ongoing rate. Both end-of-day and intraday trailing variants are sold. An activation fee applies on passing.",NinjaTrader; Quantower; TradingView; Tradovate; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; Jigsaw; MotiveWave; EdgeProX; Finamark; VolFix; WealthCharts,,,4/40,"Rithmic, Tradovate, WealthCharts",,,
